COMMENT  ####
COMMENT  #  GRADE - MINIMAL SUBSET  (FOR HR)
COMMENT  ####
METADATA|Grade|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|SetId|GradeName|GradeCode|ActiveStatus
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-77|1951/01/01|4217/12/31|10-OPSDIR|77|28|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-78|1951/01/01|4217/12/31|10-OPSDIR|78|29|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-79|1951/01/01|4217/12/31|10-OPSDIR|79|30|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-80|1951/01/01|4217/12/31|10-OPSDIR|80|31|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-81|1951/01/01|4217/12/31|10-OPSDIR|81|32|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-82|1951/01/01|4217/12/31|10-OPSDIR|82|33|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-50|1951/01/01|4217/12/31|10-FUNCHEAD|50|1|Y
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-51|1951/01/01|4217/12/31|10-FUNCHEAD|51|2|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-52|1951/01/01|4217/12/31|10-FUNCHEAD|52|3|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-53|1951/01/01|4217/12/31|10-FUNCHEAD|53|4|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-54|1951/01/01|4217/12/31|10-FUNCHEAD|54|5|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-55|1951/01/01|4217/12/31|10-FUNCHEAD|55|6|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-56|1951/01/01|4217/12/31|10-FUNCHEAD|56|7|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-57|1951/01/01|4217/12/31|10-FUNCHEAD|57|8|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-58|1951/01/01|4217/12/31|10-FUNCHEAD|58|9|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-59|1951/01/01|4217/12/31|10-FUNCHEAD|59|10|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-60|1951/01/01|4217/12/31|10-FUNCHEAD|60|11|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-61|1951/01/01|4217/12/31|10-FUNCHEAD|61|12|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-62|1951/01/01|4217/12/31|10-FUNCHEAD|62|13|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-63|1951/01/01|4217/12/31|10-FUNCHEAD|63|14|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-64|1951/01/01|4217/12/31|10-FUNCHEAD|64|15|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-65|1951/01/01|4217/12/31|10-FUNCHEAD|65|16|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-66|1951/01/01|4217/12/31|10-FUNCHEAD|66|17|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-67|1951/01/01|4217/12/31|10-FUNCHEAD|67|18|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-68|1951/01/01|4217/12/31|10-FUNCHEAD|68|19|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-69|1951/01/01|4217/12/31|10-FUNCHEAD|69|20|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-70|1951/01/01|4217/12/31|10-FUNCHEAD|70|21|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-71|1951/01/01|4217/12/31|10-FUNCHEAD|71|22|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-72|1951/01/01|4217/12/31|10-FUNCHEAD|72|23|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-73|1951/01/01|4217/12/31|10-FUNCHEAD|73|24|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-74|1951/01/01|4217/12/31|10-FUNCHEAD|74|25|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-75|1951/01/01|4217/12/31|10-FUNCHEAD|75|26|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-76|1951/01/01|4217/12/31|10-FUNCHEAD|76|27|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-77|1951/01/01|4217/12/31|10-FUNCHEAD|77|28|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-78|1951/01/01|4217/12/31|10-FUNCHEAD|78|29|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-79|1951/01/01|4217/12/31|10-FUNCHEAD|79|30|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-80|1951/01/01|4217/12/31|10-FUNCHEAD|80|31|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-81|1951/01/01|4217/12/31|10-FUNCHEAD|81|32|N
MERGE|GradeStep|ALTAHRN01|10-FUNCHEAD-82|1951/01/01|4217/12/31|10-FUNCHEAD|82|33|N
MERGE|GradeStep|ALTAHRN01|10-PVC-50|1951/01/01|4217/12/31|10-PVC|50|1|Y
MERGE|GradeStep|ALTAHRN01|10-PVC-51|1951/01/01|4217/12/31|10-PVC|51|2|N
MERGE|GradeStep|ALTAHRN01|10-PVC-52|1951/01/01|4217/12/31|10-PVC|52|3|N
MERGE|GradeStep|ALTAHRN01|10-PVC-53|1951/01/01|4217/12/31|10-PVC|53|4|N
MERGE|GradeStep|ALTAHRN01|10-PVC-54|1951/01/01|4217/12/31|10-PVC|54|5|N
MERGE|GradeStep|ALTAHRN01|10-PVC-55|1951/01/01|4217/12/31|10-PVC|55|6|N
MERGE|GradeStep|ALTAHRN01|10-PVC-56|1951/01/01|4217/12/31|10-PVC|56|7|N
MERGE|GradeStep|ALTAHRN01|10-PVC-57|1951/01/01|4217/12/31|10-PVC|57|8|N
MERGE|GradeStep|ALTAHRN01|10-PVC-58|1951/01/01|4217/12/31|10-PVC|58|9|N
MERGE|GradeStep|ALTAHRN01|10-PVC-59|1951/01/01|4217/12/31|10-PVC|59|10|N
MERGE|GradeStep|ALTAHRN01|10-PVC-60|1951/01/01|4217/12/31|10-PVC|60|11|N
MERGE|GradeStep|ALTAHRN01|10-PVC-61|1951/01/01|4217/12/31|10-PVC|61|12|N
MERGE|GradeStep|ALTAHRN01|10-PVC-62|1951/01/01|4217/12/31|10-PVC|62|13|N
MERGE|GradeStep|ALTAHRN01|10-PVC-63|1951/01/01|4217/12/31|10-PVC|63|14|N
MERGE|GradeStep|ALTAHRN01|10-PVC-64|1951/01/01|4217/12/31|10-PVC|64|15|N
MERGE|GradeStep|ALTAHRN01|10-PVC-65|1951/01/01|4217/12/31|10-PVC|65|16|N
MERGE|GradeStep|ALTAHRN01|10-PVC-66|1951/01/01|4217/12/31|10-PVC|66|17|N
MERGE|GradeStep|ALTAHRN01|10-PVC-67|1951/01/01|4217/12/31|10-PVC|67|18|N
MERGE|GradeStep|ALTAHRN01|10-PVC-68|1951/01/01|4217/12/31|10-PVC|68|19|N
MERGE|GradeStep|ALTAHRN01|10-PVC-69|1951/01/01|4217/12/31|10-PVC|69|20|N
MERGE|GradeStep|ALTAHRN01|10-PVC-70|1951/01/01|4217/12/31|10-PVC|70|21|N
MERGE|GradeStep|ALTAHRN01|10-PVC-71|1951/01/01|4217/12/31|10-PVC|71|22|N
MERGE|GradeStep|ALTAHRN01|10-PVC-72|1951/01/01|4217/12/31|10-PVC|72|23|N
MERGE|GradeStep|ALTAHRN01|10-PVC-73|1951/01/01|4217/12/31|10-PVC|73|24|N
MERGE|GradeStep|ALTAHRN01|10-PVC-74|1951/01/01|4217/12/31|10-PVC|74|25|N
MERGE|GradeStep|ALTAHRN01|10-PVC-75|1951/01/01|4217/12/31|10-PVC|75|26|N
MERGE|GradeStep|ALTAHRN01|10-PVC-76|1951/01/01|4217/12/31|10-PVC|76|27|N
MERGE|GradeStep|ALTAHRN01|10-PVC-77|1951/01/01|4217/12/31|10-PVC|77|28|N
MERGE|GradeStep|ALTAHRN01|10-PVC-78|1951/01/01|4217/12/31|10-PVC|78|29|N
MERGE|GradeStep|ALTAHRN01|10-PVC-79|1951/01/01|4217/12/31|10-PVC|79|30|N
MERGE|GradeStep|ALTAHRN01|10-PVC-80|1951/01/01|4217/12/31|10-PVC|80|31|N
MERGE|GradeStep|ALTAHRN01|10-PVC-81|1951/01/01|4217/12/31|10-PVC|81|32|N
MERGE|GradeStep|ALTAHRN01|10-PVC-82|1951/01/01|4217/12/31|10-PVC|82|33|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-50|1951/01/01|4217/12/31|10-SENFUNC|50|1|Y
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-51|1951/01/01|4217/12/31|10-SENFUNC|51|2|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-52|1951/01/01|4217/12/31|10-SENFUNC|52|3|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-53|1951/01/01|4217/12/31|10-SENFUNC|53|4|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-54|1951/01/01|4217/12/31|10-SENFUNC|54|5|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-55|1951/01/01|4217/12/31|10-SENFUNC|55|6|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-56|1951/01/01|4217/12/31|10-SENFUNC|56|7|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-57|1951/01/01|4217/12/31|10-SENFUNC|57|8|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-58|1951/01/01|4217/12/31|10-SENFUNC|58|9|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-59|1951/01/01|4217/12/31|10-SENFUNC|59|10|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-60|1951/01/01|4217/12/31|10-SENFUNC|60|11|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-61|1951/01/01|4217/12/31|10-SENFUNC|61|12|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-62|1951/01/01|4217/12/31|10-SENFUNC|62|13|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-63|1951/01/01|4217/12/31|10-SENFUNC|63|14|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-64|1951/01/01|4217/12/31|10-SENFUNC|64|15|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-65|1951/01/01|4217/12/31|10-SENFUNC|65|16|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-66|1951/01/01|4217/12/31|10-SENFUNC|66|17|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-67|1951/01/01|4217/12/31|10-SENFUNC|67|18|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-68|1951/01/01|4217/12/31|10-SENFUNC|68|19|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-69|1951/01/01|4217/12/31|10-SENFUNC|69|20|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-70|1951/01/01|4217/12/31|10-SENFUNC|70|21|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-71|1951/01/01|4217/12/31|10-SENFUNC|71|22|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-72|1951/01/01|4217/12/31|10-SENFUNC|72|23|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-73|1951/01/01|4217/12/31|10-SENFUNC|73|24|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-74|1951/01/01|4217/12/31|10-SENFUNC|74|25|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-75|1951/01/01|4217/12/31|10-SENFUNC|75|26|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-76|1951/01/01|4217/12/31|10-SENFUNC|76|27|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-77|1951/01/01|4217/12/31|10-SENFUNC|77|28|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-78|1951/01/01|4217/12/31|10-SENFUNC|78|29|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-79|1951/01/01|4217/12/31|10-SENFUNC|79|30|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-80|1951/01/01|4217/12/31|10-SENFUNC|80|31|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-81|1951/01/01|4217/12/31|10-SENFUNC|81|32|N
MERGE|GradeStep|ALTAHRN01|10-SENFUNC-82|1951/01/01|4217/12/31|10-SENFUNC|82|33|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-50|1951/01/01|4217/12/31|10-SENOFF|50|1|Y
MERGE|GradeStep|ALTAHRN01|10-SENOFF-51|1951/01/01|4217/12/31|10-SENOFF|51|2|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-52|1951/01/01|4217/12/31|10-SENOFF|52|3|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-53|1951/01/01|4217/12/31|10-SENOFF|53|4|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-54|1951/01/01|4217/12/31|10-SENOFF|54|5|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-55|1951/01/01|4217/12/31|10-SENOFF|55|6|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-56|1951/01/01|4217/12/31|10-SENOFF|56|7|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-57|1951/01/01|4217/12/31|10-SENOFF|57|8|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-58|1951/01/01|4217/12/31|10-SENOFF|58|9|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-59|1951/01/01|4217/12/31|10-SENOFF|59|10|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-60|1951/01/01|4217/12/31|10-SENOFF|60|11|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-61|1951/01/01|4217/12/31|10-SENOFF|61|12|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-62|1951/01/01|4217/12/31|10-SENOFF|62|13|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-63|1951/01/01|4217/12/31|10-SENOFF|63|14|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-64|1951/01/01|4217/12/31|10-SENOFF|64|15|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-65|1951/01/01|4217/12/31|10-SENOFF|65|16|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-66|1951/01/01|4217/12/31|10-SENOFF|66|17|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-67|1951/01/01|4217/12/31|10-SENOFF|67|18|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-68|1951/01/01|4217/12/31|10-SENOFF|68|19|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-69|1951/01/01|4217/12/31|10-SENOFF|69|20|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-70|1951/01/01|4217/12/31|10-SENOFF|70|21|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-71|1951/01/01|4217/12/31|10-SENOFF|71|22|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-72|1951/01/01|4217/12/31|10-SENOFF|72|23|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-73|1951/01/01|4217/12/31|10-SENOFF|73|24|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-74|1951/01/01|4217/12/31|10-SENOFF|74|25|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-75|1951/01/01|4217/12/31|10-SENOFF|75|26|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-76|1951/01/01|4217/12/31|10-SENOFF|76|27|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-77|1951/01/01|4217/12/31|10-SENOFF|77|28|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-78|1951/01/01|4217/12/31|10-SENOFF|78|29|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-79|1951/01/01|4217/12/31|10-SENOFF|79|30|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-80|1951/01/01|4217/12/31|10-SENOFF|80|31|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-81|1951/01/01|4217/12/31|10-SENOFF|81|32|N
MERGE|GradeStep|ALTAHRN01|10-SENOFF-82|1951/01/01|4217/12/31|10-SENOFF|82|33|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-69|1951/01/01|4217/12/31|10-VP-PROVOST|69|1|Y
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-70|1951/01/01|4217/12/31|10-VP-PROVOST|70|2|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-71|1951/01/01|4217/12/31|10-VP-PROVOST|71|3|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-72|1951/01/01|4217/12/31|10-VP-PROVOST|72|4|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-73|1951/01/01|4217/12/31|10-VP-PROVOST|73|5|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-74|1951/01/01|4217/12/31|10-VP-PROVOST|74|6|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-75|1951/01/01|4217/12/31|10-VP-PROVOST|75|7|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-76|1951/01/01|4217/12/31|10-VP-PROVOST|76|8|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-77|1951/01/01|4217/12/31|10-VP-PROVOST|77|9|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-78|1951/01/01|4217/12/31|10-VP-PROVOST|78|10|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-79|1951/01/01|4217/12/31|10-VP-PROVOST|79|11|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-80|1951/01/01|4217/12/31|10-VP-PROVOST|80|12|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-81|1951/01/01|4217/12/31|10-VP-PROVOST|81|13|N
MERGE|GradeStep|ALTAHRN01|10-VP-PROVOST-82|1951/01/01|4217/12/31|10-VP-PROVOST|82|14|N
COMMENT   BAND 100 STEPS
MERGE|GradeStep|ALTAHRN01|BAND200-01|1951/01/01|4712/12/31|BAND100|10|1|Y
